experiment,background,standard,direction,n,empirical_logistic_pse,predicted_pse,logistic_scale
2,120.0,3,9,720,0.544516940906017,0.49135761218830265,0.14974211028061601
2,120.0,3,10,720,0.4309698016781857,0.43943197217316743,0.15125301802361038
3,30.0,1,2,540,0.8267223746748177,0.7087827823174928,0.142808876695999
3,30.0,1,5,540,0.46593714337929076,0.3977914989525074,0.08326457917484026
3,30.0,1,8,540,0.5507302583504657,0.48820277898495035,0.06003903993253718
3,30.0,2,2,540,0.6037843532192062,0.5766120057325739,0.0686214152347042
3,30.0,2,5,540,0.31332859831457915,0.3042470548916366,0.04169925915175996
3,30.0,2,8,540,0.37106683257100265,0.3930054416880614,0.09497040006396844
3,30.0,3,2,540,0.44882741160371104,0.3979561191525043,0.08692961057373742
3,30.0,3,5,540,0.2161960155566355,0.1942657932702888,0.045812994211672266
3,30.0,3,8,540,0.2353984730489119,0.2674516768388434,0.08142978418392742
3,40.0,1,2,540,0.7494768884788664,0.6533206371649294,0.09951553430701636
3,40.0,1,5,540,0.4492331059987813,0.35268697635693647,0.06613888416738263
3,40.0,1,8,540,0.5190872707174166,0.48483649231828796,0.048095085581529945
3,40.0,2,2,540,0.5845691998413671,0.5820614837080649,0.060893020705158875
3,40.0,2,5,540,0.3415511240473926,0.30414885608728426,0.04319662462926625
3,40.0,2,8,540,0.4101184125934736,0.4295930129177321,0.07234444958690987
3,40.0,3,2,540,0.3995850276436072,0.39636669838221417,0.0663880566408757
3,40.0,3,5,540,0.2032753286684922,0.1911529347079317,0.03791396033480321
3,40.0,3,8,540,0.26348410251251353,0.28843141821597185,0.05670538185204667
3,50.0,1,2,540,0.6625825471978685,0.6118774033602636,0.06604536749458982
3,50.0,1,5,540,0.4307614588885751,0.32090024320037247,0.06844408030801917
3,50.0,1,8,540,0.4951582259687748,0.482159830746965,0.03620710421034612
3,50.0,2,2,540,0.5836484382780965,0.5864557284188334,0.041544682397970045
3,50.0,2,5,540,0.3559443210340682,0.30407032343649565,0.050634288658701565
3,50.0,2,8,540,0.4407796891405079,0.46125179342560074,0.04966499618123825
3,50.0,3,2,540,0.3254005236025666,0.3950995383195113,0.04744071246837669
3,50.0,3,5,540,0.18204336315477118,0.18870230198798327,0.02416848228536877
3,50.0,3,8,540,0.22744137680804494,0.30637844326621755,0.047363429734147096
3,60.0,1,2,540,0.5814005012984844,0.579805864877873,0.06566215424331477
3,60.0,1,5,540,0.34923304298414043,0.2973561048360954,0.06363851686314448
3,60.0,1,8,540,0.5101703048550482,0.4799805993874787,0.055685201610536264
3,60.0,2,2,540,0.5765536684625115,0.5900740778531062,0.07384728821536472
3,60.0,2,5,540,0.31719301793591975,0.3040060868926244,0.04239111846357642
3,60.0,2,8,540,0.4850796090369461,0.4888453943909644,0.07281908826596023
3,60.0,3,2,540,0.3769550078639397,0.39406565637219715,0.07161964279690855
3,60.0,3,5,540,0.1801367350654638,0.18672301276270303,0.03666021278952645
3,60.0,3,8,540,0.3369972810782772,0.32187837512524153,0.07016141978707797
3,70.0,1,2,540,0.5909836995185844,0.5542885093971204,0.10333420954166622
3,70.0,1,5,540,0.32767701545762334,0.2792500218857277,0.0824730480202247
3,70.0,1,8,540,0.5054735499337039,0.4781719419322601,0.06618292501088
3,70.0,2,2,540,0.5800621854160135,0.593105300907053,0.07330048697248596
3,70.0,2,5,540,0.335274913151934,0.3039525684278733,0.05824078909741114
3,70.0,2,8,540,0.5128777167014715,0.5130687851997733,0.07868106603925167
3,70.0,3,2,540,0.38141612492241794,0.39320606718793616,0.08640555036870047
3,70.0,3,5,540,0.1694812028389605,0.18509108080629982,0.05231584210551831
3,70.0,3,8,540,0.36486605538526606,0.3353836491442733,0.09962613690982268
