observer,retinal_illuminance_Td,hue,Pe,x_JV,y_JV
MA,1000,RB,0.8,0.299,0.121
MA,1000,B,0.8,0.113,0.276
MA,1000,GB,0.8,0.075,0.583
MA,1000,G,0.8,0.077,0.662
MA,1000,GY,0.8,0.376,0.555
MA,1000,Y,0.8,0.458,0.474
MA,1000,RY,0.8,0.58,0.353
MA,1000,R,0.8,0.555,0.24
MA,1000,RB,0.7,0.296,0.143
MA,1000,B,0.7,0.13,0.32
MA,1000,GB,0.7,0.108,0.57
MA,1000,G,0.7,0.118,0.638
MA,1000,GY,0.7,0.367,0.53
MA,1000,Y,0.7,0.438,0.461
MA,1000,RY,0.7,0.545,0.355
MA,1000,R,0.7,0.519,0.247
MA,1000,RB,0.6,0.288,0.166
MA,1000,B,0.6,0.155,0.352
MA,1000,GB,0.6,0.141,0.558
MA,1000,G,0.6,0.16,0.611
MA,1000,GY,0.6,0.356,0.508
MA,1000,Y,0.6,0.419,0.447
MA,1000,RY,0.6,0.513,0.353
MA,1000,R,0.6,0.497,0.261
MA,1000,RB,0.5,0.281,0.185
MA,1000,B,0.5,0.18,0.382
MA,1000,GB,0.5,0.173,0.534
MA,1000,G,0.5,0.195,0.572
MA,1000,GY,0.5,0.346,0.485
MA,1000,Y,0.5,0.401,0.432
MA,1000,RY,0.5,0.489,0.344
MA,1000,R,0.5,0.472,0.274
MA,1000,RB,0.4,0.269,0.205
MA,1000,B,0.4,0.207,0.395
MA,1000,GB,0.4,0.213,0.512
MA,1000,G,0.4,0.23,0.535
MA,1000,GY,0.4,0.332,0.466
MA,1000,Y,0.4,0.383,0.416
MA,1000,RY,0.4,0.466,0.333
MA,1000,R,0.4,0.452,0.29
MA,1000,RB,0.3,0.28,0.243
MA,1000,B,0.3,0.236,0.409
MA,1000,GB,0.3,0.25,0.478
MA,1000,G,0.3,0.257,0.483
MA,1000,GY,0.3,0.323,0.441
MA,1000,Y,0.3,0.366,0.4
MA,1000,RY,0.3,0.444,0.322
MA,1000,R,0.3,0.428,0.304
MA,1000,RB,0.2,0.293,0.277
MA,1000,GY,0.2,0.31,0.419
MA,1000,Y,0.2,0.349,0.384
MA,1000,RY,0.2,0.412,0.321
