gamut,family,H,balancedCV,metricCV,balancedJump,metricJump
srgb,white,25,0.25094326016740903,0.38445589892605775,0.015594124408108492,0.01879284352668285
srgb,white,30,0.2517854966089105,0.34010402091048675,0.017766229220926646,0.016615939326425334
srgb,white,35,0.21253582355331369,0.24175489496265667,0.015603584084454511,0.012920768062854434
srgb,white,40,0.16553990633749582,0.19844683612069797,0.012500708774216723,0.014133352623805644
srgb,white,45,0.15230720730376834,0.20244457766967527,0.012050020534346319,0.014009364570173233
srgb,white,50,0.13373592065799392,0.21133791099188928,0.010342626316545643,0.014839919645273956
srgb,white,55,0.10949518661759435,0.2011922932791302,0.008231485108495487,0.017417857829215424
srgb,white,60,0.09194273501807697,0.21878017065352595,0.008780652126693869,0.023373635412569826
srgb,white,65,0.11320185735556268,0.25791658677652796,0.012201599546003049,0.027771779334712303
srgb,white,70,0.14365613341961433,0.2861277045798611,0.015277188966276256,0.02807013860548342
srgb,white,75,0.1622772430979,0.2652729288275117,0.017480117247708635,0.026118676901540037
srgb,white,80,0.15584250871720762,0.23606136674104622,0.016651475942859338,0.024964256052417776
srgb,white,85,0.15032401568187564,0.2755230914952097,0.014734034005465784,0.02532169084702171
srgb,white,90,0.15719727115988374,0.3129245437500107,0.01225393929833173,0.02449716600958567
srgb,white,95,0.19292333601952558,0.355686944565569,0.013330679178838326,0.026076915963432735
srgb,white,100,0.2412589987267558,0.3693383721027811,0.01706471299335997,0.025349204333522585
srgb,white,105,0.2925310876515339,0.3519519734478365,0.020412375791465428,0.020613101050645306
srgb,white,110,0.32396781091993476,0.3704661989506032,0.02270897095827597,0.018724082477114358
srgb,white,115,0.29928280291194853,0.39341256521802254,0.02198488853704601,0.020116494304636506
srgb,white,120,0.22071289897461988,0.3672522894802698,0.020094948467061648,0.01972701193858437
srgb,white,125,0.15777357874493422,0.32064790417669753,0.017832124876391055,0.018740455797568396
srgb,white,130,0.14646548571864604,0.25396788841851203,0.016382046587785172,0.013506053247514868
srgb,white,135,0.18744241549755136,0.2468392911873012,0.014748321427228914,0.010951363277471367
srgb,white,140,0.2030145168054191,0.2976200050358726,0.011172079345311657,0.013784323187313024
srgb,white,145,0.14439801546360337,0.2824273358161168,0.009355132076074286,0.012085453857344853
srgb,white,150,0.13130461835990803,0.21634867423702048,0.008650053369153064,0.0116364866589146
srgb,white,155,0.17725358642242164,0.21783040708941623,0.011233386551278587,0.017264190410464324
srgb,white,160,0.2221468484985783,0.2601864484340988,0.01557555565404771,0.024186607846983295
srgb,white,165,0.2125032886021375,0.21733442993741744,0.012956542890256833,0.015586447043338694
srgb,white,170,0.2130440346900572,0.26678313859610775,0.011922763299461556,0.018558428495710582
srgb,white,175,0.18197651934534897,0.30215905675316795,0.011350762602984173,0.023460987166892076
srgb,white,180,0.1876147731143185,0.2787670657957923,0.013714153998973336,0.02132204053626548
srgb,white,185,0.1818634301662851,0.24264523950088934,0.013991771837242942,0.018090906229600735
srgb,white,190,0.25445768581951567,0.22591973592345194,0.018473364237346704,0.018863752063874698
srgb,white,195,0.2427751185400271,0.18371809700416208,0.019324463354418932,0.01781128119402644
srgb,white,200,0.18723197142817594,0.1778477066676802,0.02033199746612973,0.015237316418295371
srgb,white,205,0.1818059319892592,0.1671271088638791,0.014313759662587206,0.016287771658526736
srgb,white,210,0.17644130936721988,0.24458031281946985,0.011575090030571137,0.01934494666161902
srgb,white,215,0.16282917331692348,0.40743961749361535,0.010152734733981964,0.02457944383397338
srgb,white,220,0.16589476016828947,0.43755325089295677,0.008307273028194223,0.02555494909826561
srgb,white,225,0.194016942497245,0.35133278238618015,0.011434936048742125,0.025909988429562786
srgb,white,230,0.1804780574967096,0.25282635012014903,0.014366175584132493,0.029039873024414235
srgb,white,235,0.16581753956461656,0.252598998834202,0.015092926828669284,0.02923540850470774
srgb,white,240,0.25340587014499205,0.2874538753114527,0.019671808822678057,0.029177658568976406
srgb,white,245,0.2607325857909685,0.27972344617886014,0.01862762093555596,0.02084999896850135
srgb,white,250,0.20730892802395928,0.23666911265587406,0.014779509983319353,0.019668173468731058
srgb,white,255,0.1571607694659332,0.23671608762996238,0.012416643192553731,0.022167360142531754
srgb,white,260,0.20642770951951336,0.28957456717655766,0.012354432530871224,0.02078981315500495
srgb,white,265,0.25478201315050575,0.32226785483169496,0.013087835584606253,0.019475726695254353
srgb,white,270,0.33455591282073954,0.4308830539907261,0.01623271361640456,0.020288513769221438
srgb,white,275,0.3794593487556964,0.5931995416389924,0.021871918018576027,0.02602469065659631
srgb,white,280,0.3228346209176432,0.5708929857336843,0.02121930753629498,0.02576767786654479
srgb,white,285,0.16891875489465094,0.3183659906833819,0.01737661554124015,0.01778010711940426
srgb,white,290,0.23075801211150945,0.32265272656090704,0.01623281240490008,0.019221609015312637
srgb,white,295,0.2896490600982352,0.4100565966893922,0.014579390625914993,0.017855837933401564
srgb,white,300,0.1905207869297779,0.316203023279437,0.01170415315842976,0.015004747904683573
srgb,white,305,0.16644261933072566,0.23757657667263593,0.009694683356776267,0.013785875026987134
srgb,white,310,0.21786971639376893,0.2514951361012987,0.010015471799693284,0.013150270721341598
srgb,white,315,0.21969481237742378,0.2331684466156699,0.010300550783498083,0.011705523708683017
srgb,white,320,0.1884989167742907,0.16749921276873664,0.010943313086753318,0.009654227366531504
srgb,white,325,0.14514501431128654,0.19340835774973505,0.010581700420149939,0.010794808936052325
srgb,white,330,0.1292624812628938,0.3214828344604217,0.00952582648355493,0.01620282583858471
srgb,white,335,0.18307556564981903,0.43192541943050317,0.01411569941913197,0.02497627152788131
srgb,white,340,0.21250633888083162,0.4937395038601359,0.01525461416560479,0.034160280793603066
srgb,white,345,0.19620879737301972,0.404691719556843,0.01678172596419898,0.03109152193998983
srgb,white,350,0.19967463613782405,0.3246456917316721,0.016450406415041953,0.024293229698181408
srgb,white,355,0.18093382977271358,0.31345242101409193,0.015291954934093544,0.022338465525702
