ptID,JND (DT units),chroma radius,quadrant,color dimension,direction
F09,2.8942,6.48,1,hue,cw
F09,2.7856,6.48,1,hue,ccw
F09,2.8934,6.48,1,chroma,increasing
F09,2.8844,6.48,1,chroma,decreasing
F09,2.6739,6.48,4,hue,ccw
F09,2.9506,6.48,4,hue,cw
F09,2.9543,6.48,4,chroma,increasing
F09,2.9505,6.48,4,chroma,decreasing
F09,2.8368,9.18,1,hue,cw
F09,2.9441,9.18,1,hue,ccw
F09,2.7528,9.18,1,chroma,increasing
F09,2.8572,9.18,1,chroma,decreasing
F09,2.1129,9.18,4,hue,ccw
F09,2.1155,9.18,4,hue,cw
F09,2.7095,9.18,4,chroma,increasing
F09,2.7059,9.18,4,chroma,decreasing
F10,0.8662,3.24,1,hue,cw
F10,0.6880,3.24,1,hue,ccw
F10,1.5267,3.24,1,chroma,increasing
F10,1.0435,3.24,1,chroma,decreasing
F10,0.7475,3.24,4,hue,ccw
F10,0.7970,3.24,4,hue,cw
F10,1.6861,3.24,4,chroma,increasing
F10,1.1256,3.24,4,chroma,decreasing
F10,1.6575,6.48,1,hue,cw
F10,1.1555,6.48,1,hue,ccw
F10,1.7567,6.48,1,chroma,increasing
F10,1.6833,6.48,1,chroma,decreasing
F10,0.9403,6.48,4,hue,ccw
F10,0.6957,6.48,4,hue,cw
F10,1.9695,6.48,4,chroma,increasing
F10,1.7190,6.48,4,chroma,decreasing
F10,2.2676,9.18,1,hue,cw
F10,1.8936,9.18,1,hue,ccw
F10,2.5889,9.18,1,chroma,increasing
F10,2.1223,9.18,1,chroma,decreasing
F10,0.9290,9.18,4,hue,ccw
F10,0.9997,9.18,4,hue,cw
F10,2.1475,9.18,4,chroma,increasing
F10,1.7307,9.18,4,chroma,decreasing
F11,1.2976,3.24,1,hue,cw
F11,0.8480,3.24,1,hue,ccw
F11,0.6965,3.24,1,chroma,increasing
F11,1.5016,3.24,1,chroma,decreasing
F11,0.8468,3.24,4,hue,ccw
F11,0.6945,3.24,4,hue,cw
F11,0.8502,3.24,4,chroma,increasing
F11,1.3884,3.24,4,chroma,decreasing
F11,2.2980,6.48,1,hue,cw
F11,1.2271,6.48,1,hue,ccw
F11,0.9226,6.48,1,chroma,increasing
F11,1.7103,6.48,1,chroma,decreasing
F11,1.1860,6.48,4,hue,ccw
F11,0.7715,6.48,4,hue,cw
F11,0.8322,6.48,4,chroma,increasing
F11,1.5936,6.48,4,chroma,decreasing
F11,2.8839,9.18,1,hue,cw
F11,1.8201,9.18,1,hue,ccw
F11,1.7825,9.18,1,chroma,increasing
F11,2.5486,9.18,1,chroma,decreasing
F11,1.4689,9.18,4,hue,ccw
F11,0.8229,9.18,4,hue,cw
F11,1.2768,9.18,4,chroma,increasing
F11,2.3647,9.18,4,chroma,decreasing
